symbol,angel_token,exchange,instrument_type,expiry
011NSETEST,14747,NSE,,
021NSETEST,14751,NSE,,
031NSETEST,14753,NSE,,
041NSETEST,14755,NSE,,
051NSETEST,14758,NSE,,
061NSETEST,14762,NSE,,
071NSETEST,14764,NSE,,
081NSETEST,14767,NSE,,
091NSETEST,14769,NSE,,
0IRFC35-N0,760080,NSE,,
0MOFSL27-N3,23704,NSE,,
0NHIT34-N0,29432,NSE,,
0NHIT35-N0,29425,NSE,,
0RL34-N0,25706,NSE,,
0SCL27-YW,23299,NSE,,
1003IIFL29-NC,24141,NSE,,
1003ISFL28-N4,20779,NSE,,
1003SCFL31-Z4,23315,NSE,,
1003SCL30-BW,18874,NSE,,
1003SCL30A-NV,20116,NSE,,
1003SCL31-ZQ,23967,NSE,,
1003SCL31A-N1,25566,NSE,,
1003SCL31P-N1,28929,NSE,,
1003SCL32-N1,30228,NSE,,
1003SFIL28-NX,15249,NSE,,
10157PCP27-N0,24549,NSE,,
1015ECL29-NR,7975,NSE,,
1015SCFL29-YY,23303,NSE,,
1015SCL28-NR,20102,NSE,,
1015SCL28A-AL,14710,NSE,,
1015SCL28B-AZ,17542,NSE,,
1015SCL29-ZL,23952,NSE,,
1015SCL29B-N1,25558,NSE,,
1015SCL29T-N1,28925,NSE,,
1015SCL30-N1,30236,NSE,,
1015UCL27-NF,756000,NSE,,
1018GS2026-GS,6833,NSE,,
101NSETEST,14772,NSE,,
1020CCSP27-N0,27134,NSE,,
1025IIFL30-Y3,756154,NSE,,
1025PATE28-N0,758732,NSE,,
1025SCFL34-Z5,23317,NSE,,
1025SCL33-YJ,21030,NSE,,
1025SCL33A-N1,18897,NSE,,
1025SCL34-Z8,23323,NSE,,
1025SCL34A-ZT,23974,NSE,,
1025SCL34B-N1,25575,NSE,,
1025SCL34C-N1,25568,NSE,,
1025SCL34U-N1,28930,NSE,,
1025SCL34Z-N1,28933,NSE,,
1025SCL35-N1,30234,NSE,,
1025SCL35A-N1,30204,NSE,,
1025UCL26A-N1,25914,NSE,,
1025UCL27A-NG,756002,NSE,,
1025VCCL28-N0,757413,NSE,,
102CCSP27A-N0,28967,NSE,,
1030SFIL28-NM,14034,NSE,,
1035CCSP26-N2,23390,NSE,,
1035CCSP27-N3,23604,NSE,,
1039UCL26-NE,755998,NSE,,
1040UCL27B-N1,25916,NSE,,
1050IIFL29-ND,24143,NSE,,
1050ISFL28-N5,20784,NSE,,
1050NFL26-N7,17349,NSE,,
1050SCFL31-Z2,23311,NSE,,
1050SCL30-NU,20111,NSE,,
1050SCL31-ZP,23964,NSE,,
1050SCL31A-N1,25564,NSE,,
1050SCL31T-N1,28928,NSE,,
1050SCL32-N1,30242,NSE,,
1050UCL28-NH,756004,NSE,,
105IIFL29-N7,19047,NSE,,
1060ECL29-NS,7986,NSE,,
1065NFL27-NC,23123,NSE,,
1075SCFL34-Z6,23319,NSE,,
1075SCL33-YK,21042,NSE,,
1075SCL33A-N2,18902,NSE,,
1075SCL33B-NW,20118,NSE,,
1075SCL34-ZR,23970,NSE,,
1075SCL34C-N1,25570,NSE,,
1075SCL34T-N1,28931,NSE,,
1075SCL35-N1,30232,NSE,,
1075WCA28-N0,759215,NSE,,
1075WCAP28-N0,758995,NSE,,
1077IIFL30-N7,23024,NSE,,
1096GIPL28-N0,760487,NSE,,
10CAGL27-N5,12465,NSE,,
10IIFL28-N4,5212,NSE,,
10IIFL28A-NE,2871,NSE,,
10IIFL29-N6,19045,NSE,,
10IIFLSF27-NB,24139,NSE,,
10ISFL26-N3,20771,NSE,,
10MWL29-N0,763206,NSE,,
10NIDO26-N6,17866,NSE,,
10SCL30A-BV,18868,NSE,,
10SCL31-Z1,23309,NSE,,
10SCL31A-ZO,23961,NSE,,
10UCL26-ND,755996,NSE,,
1102NFL26-N8,17352,NSE,,
1116AFL27-N0,763346,NSE,,
1119NFL27-ND,23125,NSE,,
111ESFB31-N0,757892,NSE,,
111NSETEST,14774,NSE,,
1125AFIL29-N0,763044,NSE,,
1125VCCL27-N0,760047,NSE,,
113ESFB31-N0,759296,NSE,,
113ESFB31B-N0,759791,NSE,,
1150AFIL28-N0,760459,NSE,,
1150AFIL29-N0,760641,NSE,,
115VCCL27-N0,757719,NSE,,
115VCCL28-N0,760049,NSE,,
115VCCL28A-N0,760451,NSE,,
115VCCL31-N0,761599,NSE,,
115VCCL31A-N0,763380,NSE,,
1165ESFB32-N0,761461,NSE,,
116VCCL26A-N0,758340,NSE,,
116VCCL27-N0,758531,NSE,,
116VCCL27A-N0,759392,NSE,,
1175IFL28-N0,760555,NSE,,
1175IFL28A-N0,763510,NSE,,
1180IFL28-N0,759712,NSE,,
1180IFL28A-N0,761397,NSE,,
1180VCCL26-N0,25814,NSE,,
118VCCL27-N0,758342,NSE,,
118VCCL27A-N0,758533,NSE,,
118VCCL27B-N0,759394,NSE,,
1190VCCL26-N0,24223,NSE,,
119VCCL26-N0,24828,NSE,,
11MCS27-N0,763292,NSE,,
11NSETEST,12841,NSE,,
11VCCL27-N0,760045,NSE,,
1215DHPL27-N0,759444,NSE,,
121NSETEST,14777,NSE,,
1225DCCL27-N0,760956,NSE,,
1225IFL27-N0,759897,NSE,,
1225IFL28-N0,760656,NSE,,
125VCCL31-N0,760558,NSE,,
1275DCC28-N0,763717,NSE,,
1275DCCL28-N0,761737,NSE,,
12AFIL27-N0,759446,NSE,,
12AFIL27A-N0,759098,NSE,,
12AFIL28-N0,759283,NSE,,
12DCCL27-N0,759793,NSE,,
12DCCL29-N0,760763,NSE,,
12DCCL29A-N0,760614,NSE,,
12VCCL27-N0,25464,NSE,,
12VCCL27A-N0,25812,NSE,,
12VCCL27B-N0,29749,NSE,,
12VCCL27D-N0,758338,NSE,,
12VCCL28-N0,759281,NSE,,
12VCCL29-N0,25466,NSE,,
12VCCL29A-N0,29274,NSE,,
12VCCL29B-N0,756916,NSE,,
12VCCL29C-N0,757721,NSE,,
12VPT28-N0,763575,NSE,,
131NSETEST,14778,NSE,,
13DCCL29-N0,761609,NSE,,
141NSETEST,14781,NSE,,
14DCCL31-N0,760767,NSE,,
14DCCL31A-N0,760765,NSE,,
14RARL30-N0,30269,NSE,,
151NSETEST,14782,NSE,,
161NSETEST,14784,NSE,,
1650RARL27-N0,24693,NSE,,
165RARL28-N0,759237,NSE,,
171NSETEST,23446,NSE,,
181NSETEST,23447,NSE,,
182D030926-TB,760887,NSE,,
182D051126-TB,763288,NSE,,
182D060826-TB,760784,NSE,,
182D081026-TB,761686,NSE,,
182D090726-TB,760592,NSE,,
182D100926-TB,761383,NSE,,
182D101226-TB,31718,NSE,,
182D121126-TB,763373,NSE,,
182D130826-TB,760940,NSE,,
182D151026-TB,762430,NSE,,
182D170726-TB,760713,NSE,,
182D180626-TB,760390,NSE,,
182D180926-TB,761480,NSE,,
182D191126-TB,763526,NSE,,
182D210826-TB,761054,NSE,,
182D221026-TB,763078,NSE,,
182D230726-TB,760779,NSE,,
182D260626-TB,760525,NSE,,
182D270826-TB,760165,NSE,,
182D271126-TB,763625,NSE,,
182D291026-TB,763204,NSE,,
182D300726-TB,760760,NSE,,
18MVL27-N0,23111,NSE,,
18PVL29-N0,756035,NSE,,
18PVL29A-N0,756037,NSE,,
20MICRONS,16921,NSE,,
21STCENMGM,4,NSE,,
360ONE,13061,NSE,,
364D020726-TB,757747,NSE,,
364D021026-TB,759341,NSE,,
364D030926-TB,758940,NSE,,
364D031226-TB,760100,NSE,,
364D040227-TB,760785,NSE,,
364D040327-TB,760888,NSE,,
364D060527-TB,763289,NSE,,
364D060826-TB,758207,NSE,,
364D061126-TB,759600,NSE,,
364D070127-TB,760593,NSE,,
364D080427-TB,761687,NSE,,
364D081026-TB,759433,NSE,,
364D090726-TB,757673,NSE,,
364D100627-TB,31784,NSE,,
364D100926-TB,758888,NSE,,
364D101226-TB,760299,NSE,,
364D110227-TB,760941,NSE,,
364D110327-TB,761384,NSE,,
364D121126-TB,759831,NSE,,
364D130527-TB,763374,NSE,,
364D130826-TB,758414,NSE,,
364D150127-TB,760714,NSE,,
364D150427-TB,762431,NSE,,
364D151026-TB,759476,NSE,,
364D160726-TB,757909,NSE,,
364D170926-TB,759199,NSE,,
364D171226-TB,760391,NSE,,
364D180626-TB,756801,NSE,,
364D190227-TB,761055,NSE,,
364D190327-TB,761481,NSE,,
364D191126-TB,759866,NSE,,
364D200527-TB,763527,NSE,,
364D200826-TB,758589,NSE,,
364D210127-TB,760780,NSE,,
364D220427-TB,763079,NSE,,
364D230726-TB,757718,NSE,,
364D231026-TB,758835,NSE,,
364D240926-TB,759047,NSE,,
364D250227-TB,760166,NSE,,
364D250626-TB,757564,NSE,,
364D251226-TB,760526,NSE,,
364D261126-TB,760030,NSE,,
364D280127-TB,760761,NSE,,
364D280527-TB,763626,NSE,,
364D280826-TB,758731,NSE,,
364D290427-TB,763205,NSE,,
364D291026-TB,759504,NSE,,
364D300726-TB,757977,NSE,,
3BBLACKBIO,762518,NSE,,
3IINFOLTD,6232,NSE,,
3MINDIA,474,NSE,,
3PLAND,2595,NSE,,
574GS2026-GS,6695,NSE,,
575PY26-SG,836,NSE,,
577GS2030-GS,22292,NSE,,
579GS2030-GS,18857,NSE,,
57KA26-SG,21927,NSE,,
582RJ27-SG,1824,NSE,,
585GS2030-GS,1341,NSE,,
588CG26-SG,1703,NSE,,
591GS2028-GS,757753,NSE,,
593CG26-SG,1449,NSE,,
596PY26-SG,5880,NSE,,
597CG27-SG,1887,NSE,,
599MP26-SG,5525,NSE,,
